"","format(time, ""%Y-%m"")","energy_type","sum_energy"
"176","2015-09","generation.fossil.peat",0
"177","2015-09","generation.geothermal",0
"178","2015-09","generation.hydro.pumped.storage.aggregated",0
"179","2015-09","generation.hydro.pumped.storage.consumption",315830
"180","2015-09","generation.hydro.run.of.river.and.poundage",522576
"181","2015-09","generation.hydro.water.reservoir",1628033
"182","2015-09","generation.marine",0
"183","2015-09","generation.nuclear",4655646
"184","2015-09","generation.other",57688
"185","2015-09","generation.other.renewable",48936
"186","2015-09","generation.solar",1145729
"187","2015-09","generation.waste",171261
"188","2015-09","generation.wind.offshore",0
"189","2015-09","generation.wind.onshore",3113136
"190","2015-10","generation.biomass",773100
"191","2015-10","generation.fossil.brown.coal.lignite",392846
"192","2015-10","generation.fossil.coal.derived.gas",0
"193","2015-10","generation.fossil.gas",3892236
"194","2015-10","generation.fossil.hard.coal",4306789
"195","2015-10","generation.fossil.oil",240603
"196","2015-10","generation.fossil.oil.shale",0
"197","2015-10","generation.fossil.peat",0
"198","2015-10","generation.geothermal",0
"199","2015-10","generation.hydro.pumped.storage.aggregated",0
"200","2015-10","generation.hydro.pumped.storage.consumption",306017
"201","2015-10","generation.hydro.run.of.river.and.poundage",522054
"202","2015-10","generation.hydro.water.reservoir",1694028
"203","2015-10","generation.marine",0
"204","2015-10","generation.nuclear",4355385
"205","2015-10","generation.other",62770
"206","2015-10","generation.other.renewable",52578
"207","2015-10","generation.solar",805216
"208","2015-10","generation.waste",177414
"209","2015-10","generation.wind.offshore",0
"210","2015-10","generation.wind.onshore",3420344
"211","2015-11","generation.biomass",725208
"212","2015-11","generation.fossil.brown.coal.lignite",500605
"213","2015-11","generation.fossil.coal.derived.gas",0
"214","2015-11","generation.fossil.gas",3879174
"215","2015-11","generation.fossil.hard.coal",4307495
"216","2015-11","generation.fossil.oil",249166
"217","2015-11","generation.fossil.oil.shale",0
"218","2015-11","generation.fossil.peat",0
"219","2015-11","generation.geothermal",0
"220","2015-11","generation.hydro.pumped.storage.aggregated",0
"221","2015-11","generation.hydro.pumped.storage.consumption",374930
"222","2015-11","generation.hydro.run.of.river.and.poundage",558816
"223","2015-11","generation.hydro.water.reservoir",1731161
"224","2015-11","generation.marine",0
"225","2015-11","generation.nuclear",4300614
"226","2015-11","generation.other",60919
"227","2015-11","generation.other.renewable",50625
"228","2015-11","generation.solar",843638
"229","2015-11","generation.waste",174785
"230","2015-11","generation.wind.offshore",0
"231","2015-11","generation.wind.onshore",3235510
"232","2015-12","generation.biomass",719112
"233","2015-12","generation.fossil.brown.coal.lignite",366656
"234","2015-12","generation.fossil.coal.derived.gas",0
"235","2015-12","generation.fossil.gas",3761503
"236","2015-12","generation.fossil.hard.coal",3955492
"237","2015-12","generation.fossil.oil",245674
"238","2015-12","generation.fossil.oil.shale",0
"239","2015-12","generation.fossil.peat",0
"240","2015-12","generation.geothermal",0
"241","2015-12","generation.hydro.pumped.storage.aggregated",0
"242","2015-12","generation.hydro.pumped.storage.consumption",504874
"243","2015-12","generation.hydro.run.of.river.and.poundage",542338
"244","2015-12","generation.hydro.water.reservoir",1443967
"245","2015-12","generation.marine",0
"246","2015-12","generation.nuclear",4923140
"247","2015-12","generation.other",55581
"248","2015-12","generation.other.renewable",53216
"249","2015-12","generation.solar",649615
"250","2015-12","generation.waste",160879
"251","2015-12","generation.wind.offshore",0
"252","2015-12","generation.wind.onshore",3672754
"253","2016-01","generation.biomass",684474
"254","2016-01","generation.fossil.brown.coal.lignite",310938
"255","2016-01","generation.fossil.coal.derived.gas",0
"256","2016-01","generation.fossil.gas",3921713
"257","2016-01","generation.fossil.hard.coal",3128234
"258","2016-01","generation.fossil.oil",251074
"259","2016-01","generation.fossil.oil.shale",0
"260","2016-01","generation.fossil.peat",0
"261","2016-01","generation.geothermal",0
"262","2016-01","generation.hydro.pumped.storage.aggregated",0
"263","2016-01","generation.hydro.pumped.storage.consumption",627999
"264","2016-01","generation.hydro.run.of.river.and.poundage",785781
"265","2016-01","generation.hydro.water.reservoir",3032235
"266","2016-01","generation.marine",0
"267","2016-01","generation.nuclear",4630544
"268","2016-01","generation.other",55695
"269","2016-01","generation.other.renewable",57998
"270","2016-01","generation.solar",763152
"271","2016-01","generation.waste",184253
"272","2016-01","generation.wind.offshore",0
"273","2016-01","generation.wind.onshore",3715089
"274","2016-02","generation.biomass",599040
"275","2016-02","generation.fossil.brown.coal.lignite",133399
"276","2016-02","generation.fossil.coal.derived.gas",0
"277","2016-02","generation.fossil.gas",3097451
"278","2016-02","generation.fossil.hard.coal",2107248
"279","2016-02","generation.fossil.oil",206889
"280","2016-02","generation.fossil.oil.shale",0
"281","2016-02","generation.fossil.peat",0
"282","2016-02","generation.geothermal",0
"283","2016-02","generation.hydro.pumped.storage.aggregated",0
"284","2016-02","generation.hydro.pumped.storage.consumption",576087
"285","2016-02","generation.hydro.run.of.river.and.poundage",810680
"286","2016-02","generation.hydro.water.reservoir",3397572
"287","2016-02","generation.marine",0
"288","2016-02","generation.nuclear",4286848
"289","2016-02","generation.other",54579
"290","2016-02","generation.other.renewable",51820
"291","2016-02","generation.solar",875609
"292","2016-02","generation.waste",146825
"293","2016-02","generation.wind.offshore",0
"294","2016-02","generation.wind.onshore",4547899
"295","2016-03","generation.biomass",638600
"296","2016-03","generation.fossil.brown.coal.lignite",128690
"297","2016-03","generation.fossil.coal.derived.gas",0
"298","2016-03","generation.fossil.gas",3222090
"299","2016-03","generation.fossil.hard.coal",2218514
"300","2016-03","generation.fossil.oil",218481
"301","2016-03","generation.fossil.oil.shale",0
"302","2016-03","generation.fossil.peat",0
"303","2016-03","generation.geothermal",0
"304","2016-03","generation.hydro.pumped.storage.aggregated",0
"305","2016-03","generation.hydro.pumped.storage.consumption",614765
"306","2016-03","generation.hydro.run.of.river.and.poundage",953859
"307","2016-03","generation.hydro.water.reservoir",2898848
"308","2016-03","generation.marine",0
"309","2016-03","generation.nuclear",4978017
"310","2016-03","generation.other",58260
"311","2016-03","generation.other.renewable",54538
"312","2016-03","generation.solar",1027499
"313","2016-03","generation.waste",165276
"314","2016-03","generation.wind.offshore",0
"315","2016-03","generation.wind.onshore",4372325
"316","2016-04","generation.biomass",413122
"317","2016-04","generation.fossil.brown.coal.lignite",103371
"318","2016-04","generation.fossil.coal.derived.gas",0
"319","2016-04","generation.fossil.gas",3069707
"320","2016-04","generation.fossil.hard.coal",1602854
"321","2016-04","generation.fossil.oil",187119
"322","2016-04","generation.fossil.oil.shale",0
"323","2016-04","generation.fossil.peat",0
"324","2016-04","generation.geothermal",0
"325","2016-04","generation.hydro.pumped.storage.aggregated",0
"326","2016-04","generation.hydro.pumped.storage.consumption",451972
"327","2016-04","generation.hydro.run.of.river.and.poundage",1052976
"328","2016-04","generation.hydro.water.reservoir",3685893
"329","2016-04","generation.marine",0
"330","2016-04","generation.nuclear",4828613
"331","2016-04","generation.other",39235
"332","2016-04","generation.other.renewable",56358
"333","2016-04","generation.solar",1001100
"334","2016-04","generation.waste",171592
"335","2016-04","generation.wind.offshore",0
"336","2016-04","generation.wind.onshore",3847098
"337","2016-05","generation.biomass",501758
"338","2016-05","generation.fossil.brown.coal.lignite",133178
"339","2016-05","generation.fossil.coal.derived.gas",0
"340","2016-05","generation.fossil.gas",3353978
"341","2016-05","generation.fossil.hard.coal",1656629
"342","2016-05","generation.fossil.oil",206769
"343","2016-05","generation.fossil.oil.shale",0
"344","2016-05","generation.fossil.peat",0
"345","2016-05","generation.geothermal",0
"346","2016-05","generation.hydro.pumped.storage.aggregated",0
"347","2016-05","generation.hydro.pumped.storage.consumption",424096
"348","2016-05","generation.hydro.run.of.river.and.poundage",1037550
"349","2016-05","generation.hydro.water.reservoir",3408817
"350","2016-05","generation.marine",0
"351","2016-05","generation.nuclear",4251223
"352","2016-05","generation.other",24044
"353","2016-05","generation.other.renewable",58986
"354","2016-05","generation.solar",1256751
"355","2016-05","generation.waste",174150
"356","2016-05","generation.wind.offshore",0
"357","2016-05","generation.wind.onshore",3950182
"358","2016-06","generation.biomass",490086
"359","2016-06","generation.fossil.brown.coal.lignite",126432
"360","2016-06","generation.fossil.coal.derived.gas",0
"361","2016-06","generation.fossil.gas",3595916
"362","2016-06","generation.fossil.hard.coal",2071498
"363","2016-06","generation.fossil.oil",208677
"364","2016-06","generation.fossil.oil.shale",0
"365","2016-06","generation.fossil.peat",0
"366","2016-06","generation.geothermal",0
"367","2016-06","generation.hydro.pumped.storage.aggregated",0
"368","2016-06","generation.hydro.pumped.storage.consumption",325848
"369","2016-06","generation.hydro.run.of.river.and.poundage",787718
"370","2016-06","generation.hydro.water.reservoir",2148331
"371","2016-06","generation.marine",0
"372","2016-06","generation.nuclear",4786174
"373","2016-06","generation.other",42798
"374","2016-06","generation.other.renewable",60108
"375","2016-06","generation.solar",1398837
"376","2016-06","generation.waste",182828
"377","2016-06","generation.wind.offshore",0
"378","2016-06","generation.wind.onshore",4059747
"379","2016-07","generation.biomass",522908
"380","2016-07","generation.fossil.brown.coal.lignite",296320
"381","2016-07","generation.fossil.coal.derived.gas",0
"382","2016-07","generation.fossil.gas",4068403
"383","2016-07","generation.fossil.hard.coal",2974910
"384","2016-07","generation.fossil.oil",212724
"385","2016-07","generation.fossil.oil.shale",0
"386","2016-07","generation.fossil.peat",0
"387","2016-07","generation.geothermal",0
"388","2016-07","generation.hydro.pumped.storage.aggregated",0
"389","2016-07","generation.hydro.pumped.storage.consumption",297540
"390","2016-07","generation.hydro.run.of.river.and.poundage",660731
"391","2016-07","generation.hydro.water.reservoir",1899626
"392","2016-07","generation.marine",0
"393","2016-07","generation.nuclear",4931918
"394","2016-07","generation.other",41685
"395","2016-07","generation.other.renewable",58420
"396","2016-07","generation.solar",1423421
"397","2016-07","generation.waste",215946
"398","2016-07","generation.wind.offshore",0
"399","2016-07","generation.wind.onshore",4246864
"400","2016-08","generation.biomass",550032
"401","2016-08","generation.fossil.brown.coal.lignite",345494
